worker_id,gender,english_first_language,age_group,education,mean_toxicity_score
1233,male,0,30-45,bachelors,0.1724137931034483
203,male,0,18-30,hs,0.139186295503212
588,male,0,18-30,bachelors,0.6129032258064516
21,male,0,18-30,hs,0.08616780045351474
1411,female,0,45-60,professional,0.09772727272727273
3016,male,0,18-30,masters,0.19239904988123516
650,male,0,18-30,bachelors,0.5990990990990991
490,male,0,45-60,hs,-0.12200435729847495
1493,male,0,30-45,bachelors,0.5990783410138248
1081,male,0,30-45,professional,0.03488372093023256
3283,female,0,30-45,hs,-0.125
2392,male,1,30-45,professional,-0.020833333333333332
1161,male,0,18-30,masters,-0.034482758620689655
60,male,0,18-30,bachelors,0.06578947368421052
1283,female,0,30-45,professional,0.059496567505720827
190,female,0,18-30,bachelors,0.7516059957173448
1527,male,0,18-30,hs,-0.029891304347826088
2606,male,0,30-45,hs,-0.004545454545454545
2803,male,0,30-45,professional,0.5720930232558139
1985,female,0,30-45,bachelors,-0.2073732718894009
718,female,0,30-45,hs,-0.07674943566591422
1354,female,0,30-45,bachelors,-0.31264367816091954
2279,male,0,Under 18,bachelors,0.36423841059602646
3034,male,0,18-30,bachelors,0.0070921985815602835
2674,female,0,18-30,bachelors,0.6805555555555556
1160,female,0,30-45,hs,-0.08830022075055188
2335,male,1,30-45,masters,0.0702576112412178
3848,male,1,30-45,bachelors,-0.05084745762711865
1064,male,0,18-30,hs,0.3388235294117647
2463,male,0,18-30,bachelors,0.49295774647887325
156,male,0,30-45,bachelors,0.3283898305084746
1044,male,1,30-45,bachelors,-0.028985507246376812
912,male,0,30-45,professional,0.7177242888402626
2516,female,1,18-30,masters,0.7142857142857143
301,male,0,18-30,bachelors,0.5356371490280778
3619,male,0,18-30,hs,0.6342042755344418
410,female,0,18-30,bachelors,-0.027906976744186046
132,male,0,18-30,bachelors,-0.041928721174004195
1971,male,0,18-30,professional,-0.036613272311212815
1310,male,0,30-45,hs,0.37752161383285304
3555,female,1,45-60,bachelors,0.25
2579,male,0,30-45,masters,-0.1175115207373272
420,male,1,18-30,masters,0.32456140350877194
1600,female,0,30-45,professional,-0.09610983981693363
2204,female,0,18-30,professional,-0.06466512702078522
1039,male,0,45-60,bachelors,0.052873563218390804
1415,female,0,45-60,masters,-0.07964601769911504
536,male,0,30-45,masters,-0.17582417582417584
84,female,0,18-30,masters,0.7463617463617463
164,female,0,30-45,bachelors,0.6211180124223602
4201,female,0,18-30,bachelors,-0.11363636363636363
2073,female,0,30-45,bachelors,0.24537037037037038
665,female,0,30-45,professional,0.5581395348837209
2097,male,0,30-45,masters,-0.04195804195804196
3415,female,0,30-45,professional,-0.08447488584474885
2031,male,0,18-30,hs,0.704225352112676
575,male,0,18-30,hs,-0.11504424778761062
2546,male,0,18-30,professional,-0.009324009324009324
833,male,0,18-30,hs,0.24458874458874458
2383,female,0,45-60,bachelors,0.10275689223057644
292,male,0,45-60,bachelors,0.6631578947368421
1143,female,0,30-45,hs,0.14285714285714285
2208,male,0,18-30,hs,0.17435897435897435
1589,female,0,30-45,professional,0.22096317280453256
236,male,0,30-45,bachelors,0.03821656050955414
1598,female,0,45-60,bachelors,0.42691415313225056
2205,male,0,30-45,professional,0.011467889908256881
1615,male,1,18-30,professional,-0.125
816,female,0,18-30,hs,0.21138211382113822
346,male,0,30-45,hs,0.021052631578947368
1790,male,0,30-45,hs,-0.05813953488372093
45,female,1,18-30,bachelors,-0.002127659574468085
608,male,0,18-30,masters,0.5670995670995671
2394,male,0,18-30,professional,0.723744292237443
772,male,0,18-30,bachelors,-0.03189066059225513
1055,male,0,18-30,professional,0.03272727272727273
873,male,1,30-45,professional,0.4519650655021834
3233,male,0,30-45,bachelors,-0.037914691943127965
2399,male,0,18-30,bachelors,0.6112412177985949
272,female,0,30-45,hs,0.4778761061946903
2503,male,0,30-45,bachelors,0.7109004739336493
2485,male,1,30-45,bachelors,0.0979020979020979
1845,male,0,45-60,hs,-0.36926605504587157
3100,female,1,18-30,bachelors,-0.1697674418604651
2304,male,0,18-30,professional,0.18329466357308585
184,female,0,30-45,masters,0.6570796460176991
1497,female,0,18-30,masters,0.7670588235294118
563,male,0,30-45,bachelors,-0.03695652173913044
531,female,0,18-30,hs,0.14285714285714285
2050,female,1,18-30,bachelors,0.3905882352941176
1973,male,0,18-30,hs,0.6215596330275229
2381,male,1,45-60,masters,0.22843822843822845
761,male,0,30-45,bachelors,0.5052083333333334
2130,male,0,45-60,doctorate,0.030373831775700934
2389,female,0,18-30,bachelors,-0.10962566844919786
598,female,0,18-30,masters,-0.25477707006369427
429,male,0,30-45,hs,0.014553014553014554
2950,female,1,18-30,bachelors,-0.06572769953051644
320,male,0,18-30,professional,0.5836909871244635
4010,male,0,,masters,0.20155038759689922
2059,male,0,18-30,bachelors,0.812206572769953
1931,female,1,45-60,hs,0.40415704387990764
3535,female,0,18-30,bachelors,-0.03058823529411765
1404,male,0,18-30,masters,-0.16201117318435754
1925,male,0,18-30,hs,0.5263157894736842
3859,male,0,18-30,hs,-0.03286384976525822
2183,male,0,30-45,hs,0.03353658536585366
1544,male,0,18-30,bachelors,1.2291169451073987
2068,male,0,18-30,hs,-0.04555808656036447
939,female,0,18-30,professional,0.06791569086651054
1946,female,1,30-45,hs,0.1945945945945946
3508,male,0,30-45,masters,0.44135802469135804
1554,male,0,30-45,bachelors,0.272108843537415
895,female,0,30-45,professional,0.6518691588785047
983,male,0,18-30,professional,0.09339407744874716
433,female,0,30-45,bachelors,0.1832579185520362
749,male,0,18-30,bachelors,-0.057692307692307696
3138,male,0,30-45,masters,-0.04408352668213457
3098,female,0,18-30,hs,0.2014388489208633
689,male,0,45-60,professional,0.0
2855,male,0,30-45,bachelors,0.27522935779816515
859,female,0,18-30,hs,-0.11148648648648649
294,female,0,30-45,bachelors,-0.0334075723830735
925,male,0,Under 18,hs,0.10699588477366255
3333,female,1,18-30,bachelors,-0.08837209302325581
2336,male,1,18-30,hs,0.23696682464454977
1041,male,0,18-30,bachelors,0.4883720930232558
3215,male,0,30-45,bachelors,0.07906976744186046
1884,male,0,45-60,masters,0.6811926605504587
1827,male,0,Over 60,bachelors,-0.018140589569160998
726,male,0,30-45,bachelors,-0.04395604395604396
2861,female,1,30-45,bachelors,0.5501165501165501
1954,male,0,18-30,bachelors,-0.006928406466512702
956,male,0,30-45,some,0.40420560747663553
1031,male,0,45-60,bachelors,0.21247113163972287
141,male,0,18-30,bachelors,0.5794979079497908
267,female,0,18-30,professional,0.7843137254901961
1728,male,0,30-45,bachelors,0.08525345622119816
2442,female,0,18-30,bachelors,0.5497630331753555
1754,female,0,18-30,professional,0.1658878504672897
379,male,0,18-30,hs,0.02877697841726619
2853,male,0,30-45,bachelors,0.1388235294117647
3145,male,1,18-30,hs,0.6571428571428571
3476,female,0,30-45,professional,0.24644549763033174
115,male,0,30-45,professional,0.04424778761061947
1638,male,0,30-45,bachelors,0.3157894736842105
3846,male,0,30-45,hs,0.5763097949886105
582,female,0,30-45,bachelors,0.5609195402298851
488,male,0,18-30,masters,0.038461538461538464
868,female,0,18-30,bachelors,-0.07972665148063782
339,female,0,18-30,bachelors,0.6299559471365639
1834,male,0,30-45,professional,0.11337868480725624
213,male,0,18-30,bachelors,0.6750629722921915
1767,male,0,Under 18,hs,0.04
11,female,0,30-45,hs,0.2777777777777778
295,female,0,45-60,professional,0.3051224944320713
91,male,0,18-30,hs,0.6385281385281385
2939,male,0,30-45,bachelors,0.10623556581986143
9,female,0,18-30,bachelors,0.004366812227074236
1895,male,0,30-45,bachelors,0.7701149425287356
448,male,0,18-30,bachelors,-0.08423326133909287
1470,female,0,30-45,bachelors,0.0498220640569395
2807,female,0,18-30,bachelors,0.5883720930232558
1453,female,0,30-45,bachelors,-0.015957446808510637
2497,male,0,18-30,hs,0.13445378151260504
193,female,0,30-45,masters,0.4594594594594595
3197,male,0,30-45,bachelors,0.5966981132075472
65,male,1,18-30,hs,0.4531914893617021
558,male,0,18-30,bachelors,0.024719101123595506
3758,male,1,18-30,professional,0.7061611374407583
3592,male,0,18-30,bachelors,-0.12427745664739884
3611,male,0,45-60,masters,0.36153846153846153
1688,male,0,30-45,bachelors,-0.08064516129032258
1050,female,0,18-30,bachelors,0.26018099547511314
1427,male,0,18-30,hs,0.6523297491039427
137,male,1,18-30,bachelors,-0.12634408602150538
1114,male,0,18-30,bachelors,0.337995337995338
3648,female,1,18-30,bachelors,-0.866822429906542
2470,male,0,18-30,hs,-0.1867881548974943
2419,male,0,18-30,professional,-0.03932584269662921
1911,male,0,18-30,masters,0.7777777777777778
3269,male,0,30-45,bachelors,-0.05581395348837209
1335,male,0,Over 60,professional,0.576837416481069
4134,male,0,45-60,masters,0.21830985915492956
693,male,0,30-45,masters,0.41309823677581864
174,female,0,18-30,hs,-0.0787746170678337
3514,male,0,18-30,hs,-0.784037558685446
149,male,1,30-45,professional,0.6795454545454546
2420,female,0,18-30,bachelors,0.13793103448275862
185,female,0,18-30,hs,0.09876543209876543
1731,male,1,30-45,hs,0.815668202764977
635,female,0,Over 60,professional,0.5315533980582524
1083,female,0,45-60,hs,0.015765765765765764
282,male,0,45-60,masters,-0.13626373626373625
782,male,0,30-45,bachelors,0.12416851441241686
1771,male,0,Under 18,hs,0.5623529411764706
3885,female,0,18-30,bachelors,0.6194895591647331
621,male,0,30-45,professional,-0.17647058823529413
1410,male,0,18-30,professional,0.3972911963882618
534,male,0,18-30,hs,0.561965811965812
854,female,0,45-60,professional,-0.05694760820045558
2922,female,0,45-60,hs,0.15544041450777202
398,male,1,45-60,bachelors,0.14132762312633834
656,male,0,18-30,professional,0.30416666666666664
100,male,1,18-30,professional,0.6320754716981132
1629,male,1,30-45,hs,0.30277777777777776
217,male,0,30-45,bachelors,0.5142857142857142
403,male,0,18-30,bachelors,0.48866498740554154
1507,male,0,18-30,bachelors,-0.04861111111111111
781,male,0,18-30,hs,0.8056155507559395
4267,male,0,30-45,professional,0.38613861386138615
721,male,0,18-30,hs,0.7240618101545254
165,male,0,45-60,professional,0.6399132321041214
1281,male,0,18-30,hs,0.2629757785467128
1054,male,0,18-30,masters,-0.033707865168539325
927,male,0,30-45,professional,0.33707865168539325
262,male,0,18-30,hs,0.01856763925729443
814,male,0,45-60,masters,0.0935412026726058
2377,male,1,30-45,hs,0.7708333333333334
3813,female,1,18-30,hs,-0.9174528301886793
2439,male,0,Under 18,hs,0.3031161473087819
602,male,0,30-45,professional,0.5146067415730337
3590,male,0,30-45,professional,-0.05555555555555555
1682,male,0,45-60,hs,-0.0069767441860465115
3449,female,0,18-30,masters,0.002325581395348837
1949,female,0,18-30,bachelors,0.03881278538812785
1674,male,0,30-45,some,-0.09647058823529411
2051,male,0,18-30,hs,0.002347417840375587
1879,male,0,30-45,bachelors,0.4194312796208531
1351,female,0,30-45,hs,0.12850467289719625
3489,male,0,18-30,hs,-0.03764705882352941
1194,male,1,30-45,bachelors,0.33774834437086093
3151,male,0,30-45,masters,-0.12440191387559808
365,female,1,18-30,bachelors,0.5717391304347826
3639,male,0,30-45,bachelors,0.5730858468677494
2703,male,1,30-45,bachelors,0.823943661971831
2864,male,0,18-30,professional,-0.02981651376146789
2083,male,0,30-45,bachelors,0.0182648401826484
730,male,0,18-30,hs,-0.057815845824411134
3528,female,0,18-30,hs,-0.020930232558139535
324,male,0,18-30,hs,0.08441558441558442
2217,male,0,18-30,bachelors,0.863013698630137
1500,female,0,18-30,bachelors,-0.034482758620689655
1315,male,0,18-30,hs,-0.18995633187772926
128,male,0,30-45,bachelors,0.7891304347826087
211,female,0,18-30,masters,-0.05970149253731343
397,male,1,18-30,masters,0.09635974304068523
1574,female,0,30-45,bachelors,0.7588652482269503
3598,male,0,18-30,masters,-0.023809523809523808
1784,male,0,18-30,bachelors,-0.07906976744186046
853,female,0,30-45,hs,0.29118773946360155
623,female,0,18-30,doctorate,-0.027586206896551724
4121,female,1,18-30,hs,-0.9954022988505747
2385,female,0,18-30,hs,0.5694444444444444
777,male,0,18-30,hs,0.3588621444201313
1846,female,0,18-30,professional,0.06746031746031746
2483,male,0,30-45,hs,0.41648106904231624
110,male,0,30-45,bachelors,0.7340425531914894
3566,male,0,18-30,bachelors,-0.030612244897959183
813,male,0,18-30,bachelors,-0.14192139737991266
2732,male,0,,bachelors,-0.04513064133016627
2017,male,0,18-30,hs,0.6496519721577726
4084,female,0,18-30,hs,0.10933940774487472
2577,male,0,18-30,bachelors,0.0
3926,female,1,30-45,bachelors,0.6344827586206897
3456,male,0,18-30,hs,0.03211009174311927
225,male,0,30-45,professional,-0.07191011235955057
279,male,0,18-30,hs,-0.010893246187363835
734,male,1,18-30,professional,-0.02159827213822894
3169,male,1,18-30,hs,0.5501165501165501
2524,female,1,45-60,some,0.675
1631,male,0,18-30,hs,-0.050808314087759814
256,male,0,18-30,bachelors,0.008733624454148471
122,female,0,45-60,some,0.6801705756929638
1907,male,0,45-60,bachelors,0.07459207459207459
1273,male,1,Over 60,bachelors,0.6310904872389791
1357,male,0,30-45,professional,0.2079646017699115
2945,female,0,Over 60,bachelors,0.0
3041,male,1,18-30,hs,0.2569832402234637
2346,male,0,18-30,bachelors,0.020172910662824207
82,male,0,18-30,bachelors,0.6834381551362684
395,male,0,18-30,bachelors,0.38562091503267976
1183,male,0,30-45,masters,0.6065217391304348
1689,male,1,18-30,bachelors,0.3333333333333333
3702,female,0,45-60,professional,0.05
2428,male,0,18-30,bachelors,-0.08139534883720931
2306,male,1,18-30,professional,0.5485436893203883
487,male,0,18-30,bachelors,0.22717149220489977
1356,male,0,18-30,bachelors,0.40089086859688194
1740,female,1,18-30,hs,0.8313253012048193
1807,male,0,18-30,bachelors,0.02771362586605081
516,male,0,18-30,hs,0.5342163355408388
154,male,0,30-45,bachelors,0.06950672645739911
406,male,0,18-30,bachelors,-0.004166666666666667
3842,female,0,30-45,professional,0.6993006993006993
981,male,0,18-30,bachelors,-0.05555555555555555
2254,male,0,45-60,masters,0.2648401826484018
